id,cluster
4f8e5961-60c1-443f-a624-a343753470a2,1
3231dd9d-d846-43a0-8277-87a1eb9b5277,1
df42a32a-903c-4392-8bb3-a9d0c9e9218f,3
07624e1d-0a7a-4426-9551-467464ac5034,3
254229f4-c466-4e0b-a650-50336b07fdd2,1
7d5b7983-7c99-4f0d-bddf-9fbd528eca81,3
83580cd4-e88e-4538-b038-e56113e4c2e3,3
1cc056a6-bc3c-4705-9af1-23e2f89115ad,3
5a07f956-c944-498f-80c1-5fb986c7bb20,3
4c71cc86-4968-4fb8-8bb3-6992d165faeb,1
e5067fef-17ee-4539-8719-0f3070b72b90,3
7b4e3d5d-d323-4077-aae3-4883855c9025,3
22b45745-bf1f-42af-acbc-be82422b8c6b,3
7b27040f-a792-40d8-adce-6d2e3e36a2ef,0
0bf8ca82-5167-4cbf-8bed-020ea18b9510,0
81c9dcd6-b91d-4a3c-a6a8-5a72d0a7d68c,1
a1be52f6-6a42-4b91-8c33-20e6321fa374,1
790aa53f-f847-43a1-8962-0d899e4b75ba,3
6bd97b13-b189-41f0-ad8b-9f26be3d93d0,3
1d54d3de-d0b3-4273-89e9-7ef3e8febb0d,2
e8aab41f-0954-42b0-b20d-a0e15fd17e23,0
d9800e2e-3aad-49a5-b5cb-d0da367732db,0
d2d2dd2a-568f-488f-8926-99982e5703aa,0
5fb67cfd-fbe7-40b1-8af0-bea366daa4ce,0
822a6db3-48ad-4290-a711-8c4d7f07abc8,0
77478b36-598c-41d9-86cf-123530411520,3
707169f3-85cc-456b-8f77-d82423370d67,1
7c2315bd-a330-4578-88b7-c132be30de2d,2
19019fb2-05f6-4267-aaf8-6fb9aff3fa83,3
6251d2eb-34d3-4e8b-bae4-0caa3f55371a,1
e8090359-5014-4395-ac73-620ba80f2d5b,1
9e1ebd5b-0c7d-44f2-9bfc-e371f1b6f63f,0
a2a82c6c-7a7e-4eec-ad69-f487424dc71e,0
5795f078-e97e-43c4-a6a7-dd7d55b33dd9,2
3e2099cb-76bb-46db-9cd3-6a03a4da0e39,2
c91db5bf-1bc5-4597-98b1-0ac36c5638fd,1
db475b0b-e62d-4719-a502-d1effef1ed48,1
a2045fb1-90e5-4957-91ac-a5a8b83fd081,1
2ac2bd99-e161-4856-9b24-6dc6bf7d985b,0
83692241-9b86-40d3-8e9f-044852b24a7f,1
7d6fcc82-1fb9-4b7b-897c-64f3efe90150,0
934d51a5-c360-494e-af6c-41f324216aaa,0
9aaf3186-32e9-4b8c-a282-048549b03da6,0
a7b9f0bb-3533-4e0c-ac1c-1a71745bf089,1
88787789-76a4-44ab-8e89-743b83d2b563,0
91023823-c7de-4386-b230-9bb3c8bf4dc4,0
b0f1b52b-0cdf-4a1d-a8e5-daf6a95c754b,1
05c191ac-c545-4e9e-b64a-8651ec07b34d,1
db1cccfc-7ae8-4fbc-955b-01468d8e72e1,1
6203fa5e-e948-4d7f-9be1-96bdb8c13bbf,1
418a5aaa-323a-48a8-9a3c-338f924cde2c,1
714e5de7-7c89-4f74-9569-bc9ed7733dce,1
538cadbc-10e4-4664-801f-26d702918133,1
b65073bd-52d6-49bd-95e6-2d70a68eac5f,1
5cef718a-460b-43ca-92f5-82151c2922b9,1
493caf8e-eb37-491e-8442-ee7d7cc49bd0,1
e46da0fc-64a2-40da-9482-0978978d74e7,1
e8fda820-0cfc-4bd3-b262-8a385d761148,0
64833a19-4972-403d-ae8b-09a61af341b8,3
da145505-b6ed-41b8-a399-d2538e4e3a17,1
ac5c07ef-1080-4f1a-a978-e381f929c991,1
850f8984-ee74-4a26-80e8-a409617929db,1
1af696e7-a9ca-41fd-aa96-d529d893c65d,3
bccd18aa-a90b-481f-894c-5adcf4113298,3
fb7938c3-3d98-4641-9299-fe6fd9703324,3
03b9e7fe-5913-4662-97d0-078dfc56df27,1
863c204e-ef4a-4462-bac6-20360a32622d,1
9d22f999-a354-44d2-95f1-bc94c38ee626,1
8790804f-6c19-4064-89a5-412862784b1c,0
3d92c9e6-d3f8-4177-900c-04adc55774c1,2
9e4e544f-384b-4a87-9a2c-3f69ff5fd4f8,0
36f09928-cc72-441a-8f0b-5ed7ddb3049c,3
c7fea5a1-9a97-494d-8b48-80485d841ace,2
1d746f17-0484-43df-bde3-783203462c19,1
be7af47d-3781-466e-ba10-52de8a53d98a,1
307024ad-1a6a-40ac-87eb-72ddfb05e836,1
bb9852a6-a27a-40e6-80ab-22e210e73310,1
9e6883b3-44ad-4b98-a1e9-3c084317dba2,1
321469ff-ab8c-4690-a8ee-b799fc5836ef,1
82c7706f-2972-4e87-b9f9-f5e6ee3c533b,1
a065713e-1a0f-472f-b7e3-125a8da72465,1
502608c0-8c68-4a10-a1f9-fdc833a44b05,3
672fc34b-2572-44a1-b4ed-d9bdccdc6909,3
c4665123-3cf0-4f93-b2fa-6bc1daf06636,3
0bafb856-e66e-4e69-a07e-816ffb177634,1
e07c106b-0fd7-4f4c-ab2f-1dbf2077d46a,1
b6d02b36-ae39-4c1c-8e16-29beb068ff97,1
471199d0-8474-4614-9e4e-e5dd823554f6,1
1ec3a7ef-4918-4633-a7a5-561f788ba9b5,1
8de2e464-fd64-4009-8ca6-96ccb16df8c9,1
7f9711f8-6328-47ab-b339-aca68e650ff9,1
56d8f8e0-7e07-42f7-9503-360aed60100a,1
349a1c1b-172f-445a-aefe-97a58c19b08b,1
b5adad74-af23-4383-8e8c-0adf7024064a,1
74fcfbc9-2569-46c8-ad3f-a9ea8b9f5a45,1
ab1abeb5-5541-494f-ac7e-4aeb2dfe04f0,1
c322fc6c-240c-4c09-9b88-d4f2c2395244,2
49e758d3-c9cb-410b-b44b-dac87fa83081,1
cba20c38-f317-405d-baae-f081d703e02f,1
71f15ae0-6ee5-45fe-9ba8-e988a4c06204,1
1c780fca-582c-44fa-9fcb-3b809f9e62a1,1
e99d0b15-5893-44e5-b590-a5b74f59c0c2,1
707675ba-b50d-40c7-8cff-c4edeae49d63,1
8fa97a15-d6c4-4aa6-ba4a-8bcbea89a3f8,1
711e818a-ca63-4f13-aff2-e30fb49aa354,1
06722b2c-a72c-4859-a1e7-f67582a0b740,1
3cbfc97b-1004-4096-a198-83f672cb4789,3
cfe27274-b552-4190-9a38-9abf52000716,3
9d129acf-91a6-422f-862f-b0aa92448395,2
f74fbc17-4f62-4287-8b17-7354bd135366,2
ddaf379f-3e20-42b5-a0a9-ad56cc4d6b5a,2
f88c20b1-9296-462d-9a5c-0acb9de06d93,3
a02c7888-ca2a-4958-9ee2-36191ad749d4,1
0447535e-6e0c-4992-a80a-a2b05b2e80fc,1
f76753db-d647-4d96-811c-a0b4bb978fa7,3
821b1b89-bf81-4422-9d4c-1b1173bc80e3,1
76dcf531-c624-4573-b2bc-45042fb46823,1
9e9fb40a-75b6-4b2d-a356-752a12e88d1a,1
fc13df3e-75cb-471f-9bd0-52ad2a8bfd9f,1
7f8c14b2-fc22-45ec-a383-2f2ee9b23785,1
6938d338-6ad1-4280-b994-aa959f48f78f,1
9195d6ad-120f-4ae2-8e69-462ca56c3fc0,3
3d150cd4-4e0e-4c9b-8148-cd8fa3426c70,0
6246d593-0402-4d7c-9dd3-31216942f0e2,1
a6a85adf-d749-4d9c-bba6-b63a48e3952d,1
