rfq_id,match_id,similarity_score
0543ec11-51e5-4b6e-8ff3-bd1dc271d768,f783f578-22ef-4072-855f-b8202e7fea9a,1.0
5242c623-abc6-4cc8-a1e3-dde93a899f00,3c938716-3889-4d73-bb45-d4586b1a44b1,1.0
5242c623-abc6-4cc8-a1e3-dde93a899f00,1c780fca-582c-44fa-9fcb-3b809f9e62a1,1.0
5242c623-abc6-4cc8-a1e3-dde93a899f00,f783f578-22ef-4072-855f-b8202e7fea9a,1.0
4d1d8f30-346e-47a5-aed6-06a86e35f6d8,3c938716-3889-4d73-bb45-d4586b1a44b1,1.0
4d1d8f30-346e-47a5-aed6-06a86e35f6d8,1c780fca-582c-44fa-9fcb-3b809f9e62a1,1.0
4d1d8f30-346e-47a5-aed6-06a86e35f6d8,f783f578-22ef-4072-855f-b8202e7fea9a,1.0
de734972-0ed4-47d2-85ed-94c639524ef3,36f09928-cc72-441a-8f0b-5ed7ddb3049c,0.75
de734972-0ed4-47d2-85ed-94c639524ef3,a6dddd00-595d-41a8-9b00-c54a2591ad02,0.75
de734972-0ed4-47d2-85ed-94c639524ef3,aa2e0c44-58f4-4162-986e-777a2925fc4a,0.75
b48a1279-3852-4482-902f-203558c37a33,ee22b2f0-e7ed-4a5e-ad53-8fda934ede08,1.0
b48a1279-3852-4482-902f-203558c37a33,6bc6f3f2-8fb2-4e5a-b2dc-95ef579ae6fb,1.0
b48a1279-3852-4482-902f-203558c37a33,dff7cdb0-f464-4b60-91ce-8d628f8ed4de,1.0
02c609c9-52b4-49d5-b6e8-cc14787f1822,ee22b2f0-e7ed-4a5e-ad53-8fda934ede08,1.0
02c609c9-52b4-49d5-b6e8-cc14787f1822,6bc6f3f2-8fb2-4e5a-b2dc-95ef579ae6fb,1.0
02c609c9-52b4-49d5-b6e8-cc14787f1822,dff7cdb0-f464-4b60-91ce-8d628f8ed4de,1.0
3fe05d73-7de1-4c32-ad94-991ff0ad4290,ee22b2f0-e7ed-4a5e-ad53-8fda934ede08,1.0
3fe05d73-7de1-4c32-ad94-991ff0ad4290,6bc6f3f2-8fb2-4e5a-b2dc-95ef579ae6fb,1.0
3fe05d73-7de1-4c32-ad94-991ff0ad4290,dff7cdb0-f464-4b60-91ce-8d628f8ed4de,1.0
0e375556-7947-4dc0-a628-d1674e5d1658,ac960bda-be71-418a-88a9-3f68201c3c0c,1.0
0e375556-7947-4dc0-a628-d1674e5d1658,7a657d65-533c-4ad1-a7f0-5f4f8c860da2,1.0
